language,glottocode,id_word,id_meaning,lemma,ipa,def,morph,annotator,reference,pos
Tsez,dido1241,42,43,АГРАН ÓМ,a-ɡ-r-a-n Ó-m,"I, II ( -ä, -ес, -би) аг- роном ; дей эсйу агроном йолъ мой брат (сестра) агроном [есть]","I, II ( -ä, -ес, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,43,44,АГРАН ÓМЛЪ/И,a-ɡ-r-a-n Ó-m-l-ʔ-i,"IV (-ǟ, -ис) про- фессия (занятие , работа ) агрон о- ма; аграномлъи рода работать агрономом ; аграномлъун тIетIра учиться на агронома","IV (-ǟ, -ис)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,44,45,АГУЛ ÁВ,a-ɡ-u-l Á-w,"I (-ä, -ес//-с) агулец","I (-ä, -ес//-с)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,45,46,АГУЛ ÁВ/БИ,a-ɡ-u-l Á-w-b-i,"мн. (-за, -зас) агульцы; агулавзас мец агульский язык","(-за, -зас)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,46,47,АГУЛ ÁЙ,a-ɡ-u-l Á-j,"II (-ä, -ес//-с) агулка","II (-ä, -ес//-с)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,47,48,АГУНО/ДА,a-ɡ-u-n-o-d-a,"(-х, -с, -дан, -до) шаит. учащ . спорить, цепляться к словам; см. балъик IнодÁ , хъех ъ- елънодÁ , хIер йадÁ","(-х, -с, -дан, -до)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,48,49,АГУНОМУ,a-ɡ-u-n-o-m-u,1) не доверчивый 2) каверзный,,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,49,50,АГУ́РИ,a-ɡ-У́-r-i,"II (-йа, -йос, -би) кир- пич; цIудани агури красный кир- пич; агурийос кьер терракотовый цвет; агурийос гъут ку дом из кирпича, кирпичный дом; агури йода производить (делать) кир- пич; агури лъ ийис кирпич зако н- чился; см. кирп ич; хуш. чIимули","II (-йа, -йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,50,51,АГЪÁЗ,a-ɡ-ʔ-Á-z,"III (-йа, -йос) 1) вним а- ние; 2) забота, хлопоты; беже агъаз а) большое внимание б) большие хлопоты; агъаз йолъāси а) внимательный б) заботливый ; агъаз āнуси жекIу а) невним а- тельный человек; б) беззаботный (безалаберный) человек; агъаз б о- да а) проявить внимание, оказать внимание б) заботиться, проявить (оказать) заботу ; хехзас агъаз б о- да позаботиться о детях , проявить заботу о детях","III (-йа, -йос)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,51,52,АГЪАКЬ,a-ɡ-ʔ-a-k,"нареч . со знач. на весу; агъакь гъ’улно эрно, жагъалав хъидо бодин букв. на весу у ложив 33 камень, стену (дома) сделали не прочным",,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,52,53,АГЪÁРМА,a-ɡ-ʔ-Á-r-m-a,"1) чуткий; бдител ь- ный 2) осторожный, внимател ь- ный; агъарма жекIу а) чуткий ч е- ловек б) осторожный человек",,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,53,54,АГЪЗАХЪ/У,a-ɡ-ʔ-z-a-χ-ʔ-u,"III (-ā, -ус, -уби) зо- ол. мок. ястреб; см. лачен, курза - кIу, курдакIу ÁГЪ/И III (-ǟ, -ис, -иби) зоол. птица; берцинаб агъи красивая птица; беже агъи большая птица; лъес агъи синица; ихдас агъи жа- воронок; рилIус агъи зяблик; лъелъ си агъи оляпка; хъидолIси агъи воробей; цихъес агъи дрозд; ичIив агъи иволга; агъис кIенечI птичье яйцо; агъис хехой птенец; агъис лелаби крылья птицы; агъи боржизи бохъси птица полетела","III (-ā, -ус, -уби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,54,55,АГЪИКI/ Á,a-ɡ-ʔ-i-k Á,"(-хо, -си, -ан, -ø) проколоть; продырявить; пробить; проткнуть что-либо; къир агъикIа пробить доску ; ахIйа агъикIа про- колоть уши","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,55,56,АГЪИКIНА/Д Á,a-ɡ-ʔ-i-k-n-a-d Á,"(-х, -с, -дан, -до) понуд. учащ. от агъикI á","(-х, -с, -дан, -до)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,56,57,АГЪИКI/Р Á,a-ɡ-ʔ-i-k-r Á,"(-ерхо, -ерси, - еран, -ер) понуд. проколоть; пр о- дырявить; пробить; проткнуть","(-ерхо, -ерси, - еран, -ер)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,57,58,АГЪИКIРЕР/ Á,a-ɡ-ʔ-i-k-r-e-r Á,"(-хо, -си, -ан, -ø) понуд. II от агъикIр á","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,58,59,АГЪИЛЪ/ Á,a-ɡ-ʔ-i-l-ʔ Á,"(-хо, -си, -ан, -ø) 1) протираться до дыр; дырявиться; пробиться; проткнуться 2) изн о- ситься ; гедо агъилъси а) вязаная обувь продырявилась б) вязаная обувь износилась","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,59,60,АГЪИ -ЧIИХЪ/И,a-ɡ-ʔ-i -tʃ-i-χ-ʔ-i,"IV (-ǟ, -ис) зоол. собир . пернатые, птицы, птичий мир ÁГЪЙУ 1) дырявый; пробитый; агъйу гъ ʼелIу дырявые брюки 2) изношенный, истрепанный; агъйу палту а) дырявое пальто б) изно- шенное пальто; ср. мок. агъи́ в, асах. агъи́ й; шаит. агъгъу ; см. гъагъÁ ру, кьагърÁ му, хъʼодарÁму","IV (-ǟ, -ис)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,60,61,АГЪЙУ́ЛЪ/И,a-ɡ-ʔ-j-У́-l-ʔ-i,"IV (-ǟ, -ис) 1) ды- рявость 2) изношенность ; истр ё- панность ÁГЪʼН/И (-ǟ, -ис, -иби) 1) IV те- лятник, отсек для телят 2) II те- лятница; см. гIÁгъни, мешизÁ хъу","IV (-ǟ, -ис)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,61,62,АГЪ,a-ɡ-ʔ,"’У́Р II (-ā, -ес, -би) 1) колесо 2) кольцо 3) баранка 4) жернова 5) обруч 6) рисунок, узор; акIзахоси агъ’ур йиг йейнойхоси погов . мель ница хорошо работает, если жернова хорошо настроены; см. гIÁгъʼу// гIагъʼу́р","(-ā, -ес, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,62,63,АГЬ,a-ɡ,"межд. 1) приступ боли 2) скорбный вздох, стон ; см. áлā",,Maiia Alimova,Khalilov 2024,interjection
Tsez,dido1241,63,64,АГЬÁ,a-ɡ-Á,"1. межд. ага, вот как; агьа, рийис (//рӣс)! ага, узнала! агьа, гье мендур ǟ зова вот как, оказывается, было 2. частица утверд. да! агьа, родис ди да, я выполнила (сделала)",,Maiia Alimova,Khalilov 2024,interjection
Tsez,dido1241,64,65,АГЬÁГЬ,a-ɡ-Á-ɡ,"1. межд. о (выражает сильное чувство) 2. частица утвер - дительная да; см. чочо ÁГЬЛ/У III (-ā, -ус, -уби) 1) се- мья; родня, родные; родственники; идуси агьлу семья, домочадцы; межус агьлу ваша родня 2) жит е- ли аула, население; гIалIос агьлу жители села 3) род; племя; см. кьиби́ л, туху́ м; агьлу -тухум","(-ā, -ус, -уби)",Maiia Alimova,Khalilov 2024,interjection
Tsez,dido1241,65,66,АГЬЛУ́ -ТУХУ́ М,a-ɡ-l-У́ -t-u-χ-У́ m,"III ( -йа, -йос, -йаби) собир . родня, родственн и- ки; см. агьлу","III ( -йа, -йос, -йаби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,66,67,АДÁБ,a-d-Á-b,"III (-йа, -йос, -би) 1) веж- ливость, учтивость; воспитанность; адаб āнуси а) невоспитанный, н е- вежливый, неучтивый, неделика т- ный б) на хальный; циничный ; адаб йо лъǟси благовоспитанный, вежливый, учтивый, деликатный 2) уважение, почитание; адаб бода уважать, почитать; уважать, пр о- явить уважение (вежли вость) 3) 34 приличие; нравственность, м о- раль; культура поведения; адаб бехура преступить границы пр и- личия, не уважать ; см. абур , адÁб- хъати́ р","III (-йа, -йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,67,68,АДÁБ-ХЪАТ И́Р,a-d-Á-b---χ-ʔ-a-t И́-r,"III (-йа, -йос, - би) собир. уважение, поче сти; адаб -хъатир йо лъǟси жекIу ува- жаемый человек; адаб -хъатир б о- дихоси же кIу уважающий людей; воспитанный человек; адаб - хъатир бода уважать , оказать уважение ; см. абур , адаб , хIур- мат, адÁб-хIурмÁ т","III (-йа, -йос, - би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,68,69,АДÁБ-ХIУРМ ÁТ,a-d-Á-b---χ-u-r-m Á-t,"III (-ā, -ес/-йос, -би) собир. внимание , уважение, почет ; адаб -хIурмат бода уважать, оказать уважение; см. адаб , адаб- хъат ир, хIурмат","III (-ā, -ес/-йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,69,70,АДÄЗ//АД ÄЗА,a-d-A-̈-z a-d A-̈-z-a,"1. нареч. вперёд, впереди; спереди; адäз бича а) стоять впереди б) заградить путь; адäз рихъира (ричира ) держать что-л. впереди; адäз цIодорлъикь ичи! впереди будьте осторожны! 2. послелог перед; ишколалъ адä з перед школой; дäлъ адä з передо мной",,Maiia Alimova,Khalilov 2024,adverb
Tsez,dido1241,70,71,АД-АДÄЗ,a-d---a-d-A-̈-z,"1. нареч. вперёд, вп е- реди; сначала; ад-адäз бикIа а) идти впереди всех б) опередить всех 2. послелог перед; см. адäз//ад äза",,Maiia Alimova,Khalilov 2024,adverb
Tsez,dido1241,71,72,АД-АДÉР,a-d---a-d-É-r,нареч . 1) вперед; ад- адер мицхир телIа заплатить вперёд 2) раньше; см. адер,,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,72,73,АДǞЙ-АДЕР,a-d-A-̈̄-j---a-d-e-r,"нареч . заблаговр е- менно, заранее ; адäй -адер элIа заранее сказать (сообщить, изв е- стить)","(сообщить, изв е- стить)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,73,74,АДÄСИ,a-d-A-̈-s-i,"1) первый; адäси хехби первый ребёнок 2) передний; адäси гъуткуби передние дома 3) призовой; адäси мочи а) призовое место б) переднее место в) первое место АДÉЙТОВ нареч. давно , давным - давно; см. нетитов; мок. адáйтов",,Maiia Alimova,Khalilov 2024,adverb
Tsez,dido1241,74,75,АДЕКI/ Á//АДИКI/ Á,a-d-e-k Á a-d-i-k Á,"(-хо, -си, - ан, -ø) 1) продвигать (продвинуть) вперёд; истовли адер адекIа про- двигать стол вперёд 2) перен. вы- двинуть; повысить (по службе)","(-хо, -си, - ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,75,76,АДЕКI/Р Á,a-d-e-k-r Á,"(-ерхо, -ерси, -еран, -ер) понуд. от адекI á","(-ерхо, -ерси, -еран, -ер)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,76,77,АДЕКIРЕР/ Á,a-d-e-k-r-e-r Á,"(-хо, -си, -ан, -ø) понуд. II от адекIр á","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,77,78,АДЕЛЪ/ Á//АДИЛЪ/А,a-d-e-l-ʔ Á a-d-i-l-ʔ-a,"(-хо, -си, -ан, -ø) 1) продвигаться , продв и- нуться 2) перен. выдвинуться, п о- выситься ( по службе)","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,78,79,АДÉР,a-d-É-r,"нареч. 1) впереди, вперёд; адер бикIа а) идти вперед; обг о- нять, опередить б) достигать боль - ших успехов в чем-л.; адер бохъа быть впереди; . дей сагIат адер би - кIих мои часы спешат (идут вп е- реди) 2) раньше, в старину ; адер халкъимос бигу гIум ру зовунчIу раньше люди жили бедно (букв. раньше жизнь людей хорошо не было ); бабйä адер рахъру шебин эсис отец рассказал историю, к о- торая случилась раньше; адер тIо лIе зовн раньше здесь был мост ♦ адер кIолIа опередить, опережать кого-л. (букв. вперед прыгнуть)",(идут вп е- реди),Maiia Alimova,Khalilov 2024,adverb
Tsez,dido1241,79,80,АДЕРЗ ÓС,a-d-e-r-z Ó-s,"старинный; древний, старый; былое; адерзос заман старое время; былое время; адер- зос лъоч старинный танец; адер- зос хабарйаби (къисаби ) стари н- ные рассказы (легенды); адерзос рокIураби старинные сережки; дǟхъ э жени бабийа адерзос х а- бар эсис дедушка рассказал мне старинный рассказ ; см. адерси",,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,80,81,АДÉР-ЗОХÓР,a-d-É-r---z-o-χ-Ó-r,"нареч. по стари н- ке, по -старому; адер -зохор бича жить по старинке (по -старому); адер -зохор хIалтIизи бохъа рабо- тать по старинке; асах. адéр-хизóр 35",(по -старому),Maiia Alimova,Khalilov 2024,adverb
Tsez,dido1241,81,82,АДÉРСИ,a-d-É-r-s-i,"1) старинный; адерси сагIат старинные часы; адерси титину старинный фартук; адерси шекьу старинная одежда 2) да в- нишний; старый, прежний; адерси заман (мех) старое (прежнее, б ы- лое) время см. адерзос","(прежнее, б ы- лое)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,82,83,АДЕРСИ/БИ,a-d-e-r-s-i-b-i,"мн. (-за, -зас) предки; см. бежетIани, умумби, эчу-обу","(-за, -зас)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,83,84,АДÉРСИЗАХЪ /У,a-d-É-r-s-i-z-a-χ-ʔ u,"I (-ā, -ус, -уби) шаит. 1) ска зочник 2) перен . фан- тазер, вы думщик; см. марг ь- азÁхъу, э́ мfдузахъу","I (-ā, -ус, -уби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,84,85,АДЕКI /Á,a-d-e-k Á,"(-хо, -си, -ан, -ø) дать возможность проскочить (вперед), пробиться вперед","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
